,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SH600886,0.03802418512806075,0.6,,,,SH600886,国投电力,2026-07-23,-0.01369867,0.018264806,-0.75000364,0.0013045972,0.07142684,0.0032615375,0.17856953,-0.01174173,-0.64286095,1.013889,1.0152117,0.99669313,1.0042926,0.9583293,0.90806377,0.85912603,0.90144855,0.8842588,0.99417675,0.9664643,0.9270461,0.9139293,0.9094759,0.013241588,0.034051914,0.0473973,0.044650402,0.0352296,0.007078705,0.0109232105,0.0076641273,0.003771971,0.0008368692,0.7144428,0.94325477,0.91513735,0.55307966,0.17210738,-0.008334149,-0.01561873,0.00014466913,0.031377148,0.06583646,1.022488,1.022488,1.022488,1.022488,1.022488,0.9550192,0.88954526,0.8478782,0.8478782,0.8478782,1.0023805,0.995239,0.9786963,0.9589909,0.93055284,0.98623616,0.9378223,0.88716805,0.8808185,0.882931,0.8,0.9,0.95,0.96666664,0.98333335,0.66669065,0.8308445,0.87121004,0.87121004,0.87121004,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.1,0.4,0.7,0.4,0.7,0.8,0.53333336,0.26666668,-0.7093914,0.7637445,0.8599234,0.72498953,0.5951601,0.47006872,0.19688721,0.47583723,0.3548083,0.51192933,0.8,0.7,0.7,0.6,0.53333336,0.2,0.2,0.25,0.36666667,0.4,0.6,0.5,0.45,0.23333333,0.13333334,0.81821513,0.87569064,0.8538505,0.6499081,0.5956313,0.18178487,0.12430934,0.14614949,0.35009187,0.4043687,0.63643026,0.75138134,0.707701,0.29981622,0.19126259,1.3023322,1.0929521,0.8260572,0.80407125,0.8052619,0.20652166,0.3160061,0.36262435,0.30220047,0.29141435,0.46040085,0.5981644,0.8374256,0.6862588,1.0308646,0.26208714,0.5602326,0.55783415,0.56506795,0.5280977,0.7379129,0.43976745,0.44216582,0.43493202,0.4719023,-0.47582573,0.1204651,0.11566834,0.13013594,0.056195367
1,SH601229,0.029267930737620202,1.0,,,,SH601229,上海银行,2026-07-23,0.0010977043,0.015367773,0.07142898,0.009879252,0.6428551,0.004390817,0.2857159,-0.00439073,-0.28571025,0.9989035,1.0098684,0.9945175,1.001047,0.9900313,0.9814867,0.97493595,1.0088294,1.0461407,1.0029051,0.9970663,0.9866277,0.98855025,0.9904728,0.008728691,0.010443424,0.015770717,0.016382182,0.018037524,-0.00056962424,0.002069689,0.0021686945,0.00022886967,-0.00017309932,0.01064679,0.36002764,0.6618536,0.015126369,0.028089028,-0.0017658874,-0.0063799405,-0.007230312,0.008131147,0.014633661,1.0339025,1.0339025,1.0339025,1.0339025,1.0568113,0.98696834,0.97164375,0.9442292,0.9442292,0.9442292,1.006266,1.001595,0.9981771,1.0002278,1.0035887,0.9973227,0.9909427,0.97493595,0.97493595,0.9729991,0.6,0.7,0.85,0.78333336,0.725,0.27765828,0.4554579,0.62193274,0.62193274,0.49537873,0.6,0.8,0.9,0.93333334,0.016666668,0.8,0.2,0.1,0.4,0.7,-0.2,0.6,0.8,0.53333336,-0.68333334,0.07845661,0.51307195,0.6170645,0.48872548,0.5549123,-0.12298928,0.14700606,0.22794358,0.31130725,0.2891893,0.6,0.5,0.5,0.46666667,0.41666666,0.4,0.5,0.4,0.46666667,0.55,0.2,0.0,0.1,0.0,-0.13333334,0.5879397,0.5857522,0.56077343,0.48762974,0.46120688,0.4120603,0.4142478,0.43922657,0.5123702,0.5387931,0.17587942,0.17150436,0.12154689,-0.024740495,-0.07758621,1.2508947,1.1448361,0.9960754,0.99051255,0.9434101,0.30622387,0.25288716,0.2509971,0.21627161,0.22097668,0.9149972,0.82302,0.83651733,0.7512988,0.84592,0.52670425,0.55928075,0.49794945,0.5146145,0.48420504,0.47329575,0.44071928,0.5020506,0.4853855,0.515795,0.053408504,0.11856147,-0.004101109,0.02922899,-0.031589936
2,SH601377,0.028869631008688213,1.0,,,,SH601377,兴业证券,2026-07-23,0.014681849,0.017944539,0.8181792,0.0016313966,0.09091326,0.0016312937,0.09090753,0.014681746,0.81817347,0.9855306,1.0016078,0.9839229,0.99342656,0.9919863,0.98568976,1.0017173,0.94218665,0.94390386,0.9921008,0.9905553,0.987035,0.98378175,0.9667239,0.007026883,0.00722662,0.011078088,0.016798016,0.025649112,0.0020606618,0.0010025804,0.0007897524,0.0008394497,0.00074424455,0.21499485,0.17643283,0.17787726,0.19354194,0.25679496,0.0037779037,0.0049331174,0.005462399,0.0040462255,0.011320851,1.004959,1.004959,1.0208752,1.0257236,1.0257236,0.97593355,0.9683224,0.96173006,0.9310714,0.9052818,0.9977104,0.99748147,0.99748147,0.9988552,0.99107045,0.9853463,0.9853463,0.9773326,0.97504294,0.93932456,1.0,1.0,0.95,0.8833333,0.94166666,0.82914877,0.86464256,0.64705086,0.72823066,0.7864234,0.6,0.8,0.2,0.26666668,0.6333333,0.2,0.1,0.15,0.23333333,0.35,0.4,0.7,0.05,0.033333335,0.28333333,-0.102650605,0.27883428,0.13725874,0.22199012,0.4617117,-0.10503201,0.4090216,0.5632132,0.5155043,0.34571752,0.4,0.5,0.5,0.5,0.46666667,0.6,0.5,0.5,0.5,0.5,-0.2,0.0,0.0,0.0,-0.033333335,0.58536565,0.57668704,0.4966886,0.5616605,0.53834116,0.41463435,0.42331296,0.5033114,0.43833947,0.46165887,0.17073129,0.15337408,-0.0066228067,0.12332107,0.0766823,1.2372755,1.2104634,1.3879944,1.6389406,1.3731791,0.23831367,0.2520445,0.51168567,0.75212795,0.6388149,0.48635444,0.4747571,1.2445426,1.6122291,1.8002126,0.5319629,0.500244,0.40572658,0.4963983,0.5079985,0.4680371,0.49975598,0.5942734,0.50360173,0.49200147,0.06392579,0.00048806312,-0.18854684,-0.0072034136,0.01599705
3,SH600018,0.027813217652904534,1.0,,,,SH600018,上港集团,2026-07-23,0.013698651,0.017612552,0.7777778,0.0019569502,0.11111111,0.0019569502,0.11111111,0.013698651,0.7777778,0.9864865,1.0019305,0.98455596,0.9950604,0.9711111,0.9522222,0.9077777,0.9388889,0.92,0.98399997,0.97577775,0.9477222,0.9410741,0.94531476,0.010558477,0.014418783,0.03466816,0.030611042,0.024130922,0.006333327,0.004094277,0.0056382627,0.0024157711,0.0001107408,0.89950025,0.73910934,0.9257572,0.48267755,0.0064234356,0.0033333637,0.0057979967,-0.0012856971,0.02389727,0.05141836,1.0019305,1.0019305,1.0019305,1.0019305,1.0019305,0.96547604,0.9387352,0.8720681,0.8720681,0.8720681,0.9893333,0.98488885,0.9811111,0.97177774,0.9637777,0.97911114,0.96844447,0.9077777,0.9104444,0.9253333,1.0,1.0,1.0,1.0,1.0,0.9470434,0.9694518,0.98513424,0.98513424,0.98513424,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.1,0.4,0.7,0.8,0.9,0.9,0.6,0.3,-0.3403301,0.10926982,0.5353787,0.5208123,0.3522401,-0.3850292,0.22456808,0.41776577,0.4410427,0.30216527,0.6,0.6,0.65,0.6,0.51666665,0.0,0.2,0.2,0.3,0.36666667,0.6,0.4,0.45,0.3,0.15,1.0,0.8028167,0.73988456,0.60956174,0.5818182,0.0,0.1971833,0.26011544,0.39043826,0.4181818,1.0,0.60563344,0.47976914,0.21912348,0.1636364,1.3504819,1.3547528,1.2362756,1.1777648,1.1034875,0.366239,0.37503812,0.3280595,0.2986806,0.29741096,0.9933058,0.9399303,0.835826,0.8269829,0.93123335,0.47567755,0.497698,0.5000112,0.50310224,0.5159938,0.52432245,0.502302,0.49998876,0.4968978,0.48400623,-0.048644915,-0.0046039955,2.2460901e-05,0.006204437,0.031987518
4,SZ000651,0.026374049264429898,0.6,,,,,,2026-07-23,-0.0019680592,0.011562055,-0.17021708,0.0073800622,0.63830024,0.0022139335,0.19148271,-0.0071341875,-0.6170346,1.001972,1.0093665,0.9977817,1.0033436,0.98176014,0.9425693,0.9159481,0.9415829,0.91471565,0.9985215,0.9818836,0.9597736,0.9476218,0.9573416,0.008276643,0.021638613,0.028910438,0.030446107,0.027841486,0.0037465047,0.0067746555,0.0046243444,0.0028464748,-0.00028290984,0.51225257,0.8985185,0.8954866,0.677412,0.03149279,-0.006014513,-0.012369537,-0.0037048492,0.011104318,0.051004235,1.0128176,1.0128176,1.0128176,1.0128176,1.0128176,0.97806305,0.930491,0.90707403,0.8940104,0.8940104,1.0018244,1.0002965,0.9877746,0.98176014,0.98471826,0.99694365,0.963422,0.9362586,0.91831464,0.93359643,0.4,0.7,0.85,0.9,0.95,0.6311963,0.84430784,0.8787859,0.8921142,0.8921142,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.05,0.23333333,0.6166667,0.4,0.7,0.85,0.7,0.35,-0.28527972,0.47628495,0.2125167,0.22795336,0.20537451,0.20460975,0.2722575,0.5561292,0.27455297,0.56791407,0.8,0.8,0.65,0.6,0.46666667,0.2,0.1,0.3,0.36666667,0.51666665,0.6,0.7,0.35,0.23333333,-0.05,0.78029037,0.90033513,0.7439207,0.619576,0.58091664,0.21970966,0.09966487,0.25607932,0.38042402,0.41908333,0.5605807,0.80067027,0.48784137,0.23915195,0.16183333,1.5760133,1.3819375,1.3396417,1.2933698,1.2669072,0.41201958,0.3662761,0.35716492,0.32693642,0.5955896,1.117245,0.98061234,0.9058752,0.9014907,2.259208,0.49350032,0.54424345,0.46034366,0.5075407,0.50514585,0.5064997,0.45575652,0.53965634,0.49245933,0.49485418,-0.012999368,0.08848697,-0.07931267,0.015081352,0.010291652
5,SH600050,0.025890066094552328,0.4,,,,SH600050,中国联通,2026-07-23,0.009132396,0.011415516,0.7999985,0.0022831198,0.20000146,0.0,0.0,0.006849276,0.59999704,0.9909502,1.0022625,0.9909502,0.9962366,0.9684848,0.92727274,0.92242426,0.97818184,1.0036364,0.98933333,0.97345454,0.94624245,0.9514344,0.98024243,0.0146059375,0.020262122,0.03167978,0.028903836,0.044791702,0.007272728,0.006325065,0.0050972863,0.0006034982,-0.0016613371,0.6198345,0.893247,0.90611184,0.033786457,0.41958526,-0.0038787914,-0.0019173508,0.005333332,0.03981491,0.068766996,1.004034,1.004034,1.004034,1.004034,1.1424377,0.9591123,0.92088896,0.8887381,0.8887381,0.8887381,0.9961212,0.9951515,0.9733333,0.9769698,1.009697,0.9869091,0.9522425,0.9183031,0.92218184,0.94715154,1.0,1.0,1.0,1.0,0.75,0.9101995,0.9514825,0.96501184,0.96501184,0.43855754,0.6,0.8,0.9,0.93333334,0.23333333,0.2,0.1,0.1,0.4,0.7,0.4,0.7,0.8,0.53333336,-0.46666667,-0.19232877,0.003703005,0.5494017,0.47070578,0.7220711,0.47577918,0.62051994,0.463951,0.33508438,0.5010636,0.6,0.7,0.6,0.5,0.46666667,0.4,0.2,0.35,0.46666667,0.46666667,0.2,0.5,0.25,0.033333335,0.0,0.8421051,0.9166665,0.73880607,0.54326916,0.497307,0.15789492,0.08333349,0.26119393,0.45673084,0.502693,0.6842101,0.833333,0.47761214,0.086538315,-0.005386006,1.883725,1.7522743,1.4693271,1.4585596,1.8577744,0.6630327,0.54503936,0.488596,0.415277,1.079937,1.676318,1.5225515,1.4992685,1.3112723,1.8788501,0.45603946,0.45534754,0.48122966,0.46038154,0.49994105,0.5439605,0.54465246,0.51877034,0.5396185,0.50005895,-0.08792106,-0.089304924,-0.037540663,-0.079236954,-0.00011788103
6,SH600919,0.024788400626467685,1.0,,,,SH600919,江苏银行,2026-07-23,0.016740099,0.027312774,0.6129036,0.0079295905,0.29032534,0.0026430858,0.09677105,0.011453594,0.4193493,0.9835355,1.007799,0.98093593,0.9970655,0.97512686,0.96548223,0.9456853,0.9959391,0.9588833,0.9893401,0.9828934,0.96715736,0.969357,0.9639087,0.009101716,0.012031503,0.022138705,0.022677494,0.019185746,0.0029949192,0.0029133996,0.003310561,0.0004152392,0.00039314377,0.27068463,0.53749174,0.7826486,0.025984135,0.12806936,0.004670022,0.003996278,0.0013922896,0.024621993,0.024493614,1.007799,1.007799,1.007799,1.0208814,1.0208814,0.9687541,0.956119,0.91268146,0.91268146,0.91268146,0.99796957,0.993401,0.98294413,0.988731,0.9803046,0.98101526,0.97461927,0.94639593,0.9495431,0.9483249,1.0,1.0,1.0,0.9,0.95,0.8002547,0.84909,0.91800636,0.8070113,0.8070113,1.0,1.0,1.0,0.1,0.55,0.8,0.2,0.15,0.43333334,0.71666664,0.2,0.8,0.85,-0.33333334,-0.16666667,-0.07206853,-0.080163956,-0.16807717,-0.14090362,0.2292937,0.063384734,-0.11609506,0.04330603,-0.004092592,0.16269174,0.8,0.7,0.65,0.53333336,0.51666665,0.2,0.3,0.35,0.46666667,0.46666667,0.6,0.4,0.3,0.06666667,0.05,0.7168145,0.6545457,0.61706775,0.5060423,0.5363229,0.28318548,0.3454543,0.38293225,0.49395767,0.46367714,0.43362904,0.30909142,0.23413552,0.012084652,0.07264574,1.0086648,1.00711,0.97156817,0.9694329,0.89479905,0.1548325,0.14294009,0.164789,0.13918972,0.18094572,0.5665372,0.48151076,0.7486452,0.765827,0.8189145,0.51412094,0.56278485,0.50260633,0.48520622,0.5122046,0.48587903,0.43721515,0.4973937,0.5147938,0.48779538,0.028241921,0.1255697,0.005212616,-0.029587576,0.024409229
7,SH601658,0.02461953789578587,1.0,,,,SH601658,邮储银行,2026-07-23,0.0019607728,0.009803958,0.19999808,0.00392164,0.4000058,0.0039215456,0.39999616,0.0019606785,0.19998845,0.99804306,1.003914,0.9941292,0.99908143,0.98873246,0.959155,0.9394366,0.9746479,0.99295783,0.9997183,0.9923944,0.9729578,0.96887326,0.96495306,0.009257283,0.012371583,0.022505535,0.022484614,0.018654756,-0.000563382,0.0027827558,0.0035497185,0.0014021845,0.00026294476,0.009259315,0.46377903,0.87071735,0.30139855,0.060596805,0.0014084361,-0.004916792,-0.0066801035,0.010795061,0.027290048,1.0220165,1.0220165,1.0220165,1.0220165,1.0220165,0.9784736,0.9527778,0.9228243,0.9129738,0.9129738,1.0028169,1.0,0.9957746,0.9901409,0.98619723,0.9943662,0.9881691,0.95126766,0.94507045,0.94788736,0.7,0.85,0.925,0.95,0.975,0.49437243,0.68202055,0.7780422,0.7980931,0.7980931,0.6,0.8,0.9,0.93333334,0.96666664,0.8,0.1,0.1,0.23333333,0.6166667,-0.2,0.7,0.8,0.7,0.35,0.0946747,0.20344007,0.40278658,0.071429834,0.21771975,0.20035124,0.40222967,0.43254665,0.3378261,0.28260338,0.6,0.6,0.6,0.53333336,0.48333332,0.2,0.3,0.3,0.4,0.45,0.4,0.3,0.3,0.13333334,0.033333335,0.59090877,0.6835444,0.6692915,0.5378151,0.5068492,0.40909126,0.3164556,0.33070847,0.46218488,0.49315074,0.18181749,0.36708876,0.33858305,0.07563025,0.013698495,1.5961673,1.4914665,1.3788673,1.5561243,1.3459542,0.471379,0.3674521,0.30106357,0.4784925,0.44596934,0.9107262,0.9171344,0.9503247,0.9665096,1.1641966,0.48624367,0.45540217,0.45787364,0.44713196,0.50252277,0.51375633,0.5445978,0.54212636,0.55286807,0.4974772,-0.027512668,-0.08919566,-0.08425273,-0.1057361,0.005045583
8,SH601916,0.024490529019177802,1.0,,,,SH601916,浙商银行,2026-07-23,0.0105263265,0.01754383,0.60000163,0.0035087515,0.19999918,0.0035087515,0.19999918,0.0105263265,0.60000163,0.9895833,1.0034722,0.9861111,0.9973917,0.9832134,0.940048,0.9928058,1.0311751,0.9832134,0.98992807,0.982494,0.9651079,0.9797762,0.98916864,0.010230574,0.014211987,0.024262812,0.029670535,0.025021095,0.0035971252,0.0036770573,0.0032184755,-0.0011219508,-0.00046928812,0.30906594,0.61362445,0.6158659,0.11081501,0.10729176,0.0028777001,0.0009592437,0.0043165614,0.036492098,0.024675332,1.0099047,1.0099047,1.0099047,1.0315332,1.0324639,0.9741428,0.93708307,0.9026809,0.9026809,0.9026809,1.0,0.9942446,0.98609114,1.0019184,1.0129497,0.983693,0.9745803,0.9438849,0.95395684,0.97601914,0.9,0.95,0.975,0.76666665,0.7,0.72303635,0.8639861,0.9076254,0.75527644,0.74985987,0.6,0.8,0.9,0.033333335,0.48333332,0.8,0.1,0.2,0.46666667,0.73333335,-0.2,0.7,0.7,-0.43333334,-0.25,-0.15224706,0.4825891,0.059397228,-0.10064319,-0.023670668,0.25711176,0.4932327,0.04191952,0.11685159,0.18639828,0.6,0.7,0.55,0.43333334,0.38333333,0.4,0.3,0.4,0.46666667,0.38333333,0.2,0.4,0.15,-0.033333335,0.0,0.64,0.7450979,0.5112782,0.46198827,0.5154185,0.36,0.2549021,0.4887218,0.5380117,0.4845815,0.28,0.49019578,0.022556411,-0.076023445,0.03083702,1.249756,1.2050785,1.2423425,1.204788,0.9999298,0.22789006,0.22696738,0.26849303,0.2518354,0.3566849,0.8221551,0.6415242,0.90833527,0.9986499,1.3433385,0.44695818,0.5085621,0.5000505,0.49342257,0.51499265,0.5530418,0.4914379,0.49994954,0.50657743,0.48500738,-0.10608361,0.017124193,0.00010092288,-0.013154836,0.029985258
9,SZ000001,0.023984889166494026,0.8,,,,,,2026-07-23,0.014652031,0.020146526,0.7272733,0.0036629764,0.18181677,0.0018315194,0.090909936,0.0128205735,0.6363664,0.9855595,1.0036101,0.98375446,0.99732727,0.9720233,0.9467475,0.94043016,0.98911184,0.96114814,0.9866434,0.97427815,0.95333815,0.95977646,0.96282256,0.010874723,0.017790332,0.027018553,0.027237013,0.025329696,0.0054148464,0.0054318854,0.0043649166,0.00017771154,-0.0003152464,0.6198347,0.8545638,0.91347325,0.0032992405,0.047243297,0.0025269282,0.0012783362,0.0051951166,0.037646707,0.046477184,1.0045139,1.0045139,1.0045139,1.0153421,1.0153421,0.9675106,0.9368195,0.90162295,0.90162295,0.90162295,0.9927802,0.99097526,0.9783406,0.98736537,0.98771465,0.97725767,0.9620948,0.9270736,0.93808377,0.9409288,1.0,1.0,1.0,0.96666664,0.93333334,0.8780136,0.9333194,0.95612925,0.8650881,0.8650881,0.6,0.8,0.9,0.06666667,0.53333336,0.2,0.2,0.2,0.46666667,0.73333335,0.4,0.6,0.7,-0.4,-0.2,-0.22183104,0.37572223,0.29160535,0.43942848,0.4772641,-0.091479175,-0.034195397,0.14708935,0.22774163,0.41365793,0.8,0.7,0.65,0.53333336,0.46666667,0.2,0.3,0.35,0.46666667,0.5,0.6,0.4,0.3,0.06666667,-0.033333335,0.7627119,0.77065736,0.6500115,0.51621765,0.53347355,0.23728813,0.22934264,0.34998855,0.48378235,0.46652645,0.5254237,0.5413147,0.30002293,0.032435294,0.0669471,1.190633,1.0386661,0.9670288,1.0331326,1.0305861,0.3039772,0.2724422,0.22362818,0.26263124,0.37613165,0.720745,0.70807534,0.7142725,0.82228345,1.3241155,0.5844612,0.56574297,0.5014061,0.46601248,0.5145933,0.41553876,0.43425703,0.49859396,0.5339875,0.4854067,0.16892245,0.13148592,0.0028121066,-0.06797506,0.029186612
10,SH600015,0.023589410862973368,1.0,,,,SH600015,华夏银行,2026-07-23,0.00867057,0.013005775,0.66667074,0.0028901636,0.22222154,0.001445042,0.111107714,0.0072254487,0.5555569,0.99140394,1.0028653,0.98997134,0.9973375,0.99143916,0.9643683,0.95279956,0.994447,1.0245256,0.9937529,0.990745,0.96984035,0.9714715,0.9705537,0.0073203626,0.009313917,0.02669262,0.023980651,0.024226109,0.0015733502,0.0017920996,0.0041026347,0.0008161166,0.000113443755,0.11548501,0.33936808,0.82682073,0.08976026,0.0066879606,0.0031004269,0.0011905426,-0.008815355,0.016694797,0.026099684,1.0101008,1.0101008,1.0101008,1.0101008,1.0372957,0.9714767,0.96151024,0.90849644,0.90849644,0.90849644,1.0,1.0,0.99342895,0.99282736,0.99143916,0.98861635,0.98287827,0.9444701,0.9522443,0.9511337,0.9,0.9,0.95,0.93333334,0.9166667,0.73848414,0.7921237,0.90058666,0.90058666,0.7104355,0.6,0.8,0.9,0.93333334,0.05,0.8,0.1,0.1,0.4,0.7,-0.2,0.7,0.8,0.53333336,-0.65,-0.5598831,0.29035679,0.18539879,0.139949,-0.018940322,-0.44890413,-0.073310204,0.1614231,0.18274994,-0.16939272,0.6,0.7,0.65,0.53333336,0.51666665,0.4,0.3,0.35,0.46666667,0.43333334,0.2,0.4,0.3,0.06666667,0.083333336,0.5939085,0.69845355,0.6135857,0.50834495,0.48076928,0.40609154,0.30154642,0.38641426,0.49165508,0.5192307,0.18781692,0.39690712,0.22717148,0.016689846,-0.038461443,1.263752,1.1066458,1.0404339,1.031035,1.1091027,0.28348953,0.26986277,0.2547114,0.23493293,0.32552496,0.8447708,0.7158469,0.71306354,0.7260858,1.2319793,0.55600834,0.5425872,0.52104586,0.5157668,0.5116044,0.4439917,0.45741278,0.47895417,0.48423317,0.48839557,0.11201662,0.08517446,0.042091683,0.03153365,0.023208834
11,SH600941,0.02339918263199655,0.6,,,,SH600941,中国移动,2026-07-23,0.0068237856,0.013967402,0.48855078,0.007143617,0.5114492,0.0,0.0,-0.0003198315,-0.022898424,0.9932225,1.0070952,0.9932225,1.0010718,0.98545766,0.9394354,0.92874247,1.0301111,0.9885372,1.001112,0.98672366,0.95818645,0.96418875,0.9897747,0.00956823,0.018590987,0.033014353,0.03217923,0.03604489,0.00035928714,0.0053679664,0.005344714,0.00044453968,-0.0010811193,0.0035250077,0.7642336,0.91730005,0.014790112,0.27438453,-0.0018306102,-0.010879518,-0.00896124,0.02936544,0.04211832,1.0216783,1.0216783,1.0216783,1.0291529,1.0705515,0.9743801,0.9319816,0.9042053,0.9042053,0.9042053,1.0072883,1.0010949,0.9905902,0.99671507,1.0176561,0.9949529,0.97141147,0.92745936,0.93127453,0.95288277,0.6,0.8,0.9,0.8666667,0.5083333,0.5416673,0.7583151,0.81546104,0.76667935,0.57587546,0.6,0.8,0.9,0.033333335,0.23333333,0.8,0.1,0.1,0.4,0.7,-0.2,0.7,0.8,-0.36666667,-0.46666667,0.20990084,0.63427484,0.67049736,0.40907428,0.20128085,0.14686458,0.20099661,0.42037496,0.29984528,0.4152287,0.6,0.8,0.7,0.5,0.55,0.4,0.2,0.3,0.5,0.43333334,0.2,0.6,0.4,0.0,0.11666667,0.6430977,0.8127208,0.67822015,0.4510023,0.51059794,0.35690233,0.1872792,0.32177988,0.5489977,0.48940206,0.28619534,0.6254416,0.35644028,-0.0979954,0.021195874,1.8644215,1.4760292,1.2179239,1.1832644,1.1553112,0.5160451,0.5357674,0.47072712,0.39995465,0.42792374,0.98374414,0.9791889,0.8835388,0.80210537,1.0184058,0.49563688,0.52786946,0.47873315,0.48319444,0.50997925,0.5043631,0.47213057,0.5212668,0.5168056,0.49002072,-0.00872623,0.05573887,-0.042533692,-0.03361114,0.019958533
12,SH601169,0.02249465018550854,1.0,,,,SH601169,北京银行,2026-07-23,0.0059287944,0.013833956,0.42856824,0.0019762646,0.14285609,0.005928897,0.42857566,0.009881427,0.7142878,0.9941062,1.0019646,0.98821217,0.9964291,0.9883151,0.9491142,0.92687523,0.9656992,1.0139464,0.9961553,0.98884284,0.9614022,0.95774597,0.9605667,0.0077312384,0.01294583,0.031656228,0.028120426,0.02388519,0.0015454212,0.003312427,0.0051376093,0.0018103634,-0.00011951011,0.09989313,0.60012853,0.92187446,0.3212103,0.0076357503,0.00075384707,-0.0037487664,-0.010209494,0.016003765,0.042958874,1.0118932,1.0118932,1.0118932,1.0118932,1.0251997,0.9784674,0.9508958,0.90434235,0.90434235,0.90434235,1.0012062,0.9984923,0.9902752,0.9883151,0.9811534,0.9883151,0.98220885,0.93034303,0.9298907,0.94157565,0.8,0.9,0.95,0.96666664,0.96666664,0.6441917,0.8050215,0.88941807,0.88941807,0.7914925,0.6,0.8,0.9,0.93333334,0.016666668,0.8,0.1,0.15,0.43333334,0.71666664,-0.2,0.7,0.75,0.5,-0.7,-0.030282775,0.21523283,0.5332579,0.36882815,0.28214923,0.2278146,0.3596272,0.41497615,0.21143208,-0.11584432,0.6,0.7,0.6,0.5,0.35,0.2,0.2,0.3,0.43333334,0.51666665,0.4,0.5,0.3,0.06666667,-0.16666667,0.6239999,0.7402134,0.6987703,0.55994725,0.48497158,0.37600008,0.2597866,0.30122972,0.44005272,0.5150284,0.24799983,0.48042682,0.39754054,0.119894564,-0.030056816,1.4885912,1.3781853,1.2705678,1.2816087,1.2001916,0.35315093,0.28715524,0.27510405,0.26691264,0.483105,0.98746157,0.6947156,0.83837754,0.8435865,1.7369958,0.50075084,0.43564063,0.49610615,0.48325327,0.49559972,0.49924916,0.56435937,0.50389385,0.51674676,0.5044003,0.0015016752,-0.12871875,-0.007787724,-0.033493474,-0.008800579
