,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ002709,0.08069952428116738,1.0,,,,,,2026-07-23,0.057328463,0.06495342,0.8826089,0.0011296285,0.017391363,0.006495327,0.09999978,0.06269416,0.9652173,0.9457799,1.0010684,0.93963677,0.9802393,0.97782284,1.1073753,1.474349,1.2526693,1.4088233,0.9498903,0.9813003,1.1587712,1.2402486,1.3522382,0.039011452,0.048265647,0.20122105,0.20512165,0.20164552,0.0146647,-0.009857903,-0.0308794,-0.019166686,-0.009435077,0.35326624,0.38238806,0.82425,0.67666346,0.6677495,0.0207803,0.06306029,0.1345831,0.037668414,-0.073903345,1.0010684,1.1842837,1.5170823,1.5200328,1.7355689,0.8707161,0.8707161,0.8707161,0.8707161,0.8707161,0.9711569,1.0062528,1.3625493,1.443378,1.5112183,0.93188536,0.9494625,0.9750475,0.99866533,1.2403283,1.0,0.7,0.35,0.23333333,0.11666667,0.9918039,0.41229996,0.20001651,0.19910768,0.14948663,1.0,0.1,0.25,0.3,0.083333336,0.4,0.7,0.85,0.9,0.95,0.6,-0.6,-0.6,-0.6,-0.8666667,0.010327819,0.39995676,0.44245413,0.5582355,0.5978746,-0.05770237,0.14898838,-0.21772562,0.084136456,0.0578749,0.4,0.3,0.4,0.46666667,0.43333334,0.6,0.7,0.6,0.53333336,0.56666666,-0.2,-0.4,-0.2,-0.06666667,-0.13333334,0.54669344,0.3719754,0.2789997,0.41878423,0.42976147,0.4533066,0.6280246,0.7210003,0.58121574,0.57023853,0.09338686,-0.25604922,-0.4420006,-0.16243152,-0.14047706,0.944699,0.98587835,1.1406671,1.2331232,1.3074819,0.12439576,0.2720151,0.34813073,0.34457204,0.3982389,0.5756094,0.66101617,0.81449026,0.82728535,0.9378671,0.70081985,0.3074565,0.49138737,0.51563203,0.4757466,0.29918015,0.6925435,0.50861263,0.484368,0.52425337,0.40163967,-0.38508704,-0.017225277,0.031264026,-0.048506785
1,SZ300274,0.08044306167446826,1.0,,,,,,2026-07-23,0.07296415,0.08899618,0.81985706,0.0043723555,0.049129702,0.011659676,0.13101323,0.08025146,0.9017406,0.9319976,1.004075,0.9211308,0.97844917,0.89854294,1.0528014,1.2960367,1.2186881,1.1303906,0.9087334,0.91779196,1.0365493,1.120087,1.2179157,0.058519803,0.044413514,0.14928967,0.17199606,0.18604265,0.034417633,-0.00031756153,-0.022026047,-0.017402135,-0.0057661985,0.8647613,0.00046863745,0.7618714,0.79335916,0.2929908,0.02243133,0.08363707,0.17269808,0.13224399,-0.047812797,1.004075,1.0510247,1.3605521,1.4190499,1.6275558,0.8470136,0.8470136,0.8470136,0.8470136,0.8470136,0.9467497,0.9416562,1.103043,1.2912614,1.3892332,0.86372113,0.87968105,0.9132128,0.9238281,1.0682176,1.0,1.0,0.5,0.33333334,0.16666667,0.9740546,0.7498924,0.2979064,0.2674418,0.19600019,1.0,0.1,0.15,0.23333333,0.33333334,0.4,0.7,0.85,0.9,0.95,0.6,-0.6,-0.7,-0.6666667,-0.6166667,0.9684185,0.6769002,0.16524911,0.091495655,0.2679525,0.6862457,0.029346466,-0.26083198,0.03726799,0.14429347,0.8,0.6,0.45,0.5,0.46666667,0.2,0.4,0.55,0.5,0.53333336,0.6,0.2,-0.1,0.0,-0.06666667,0.79276294,0.4231799,0.3043464,0.40560454,0.4736531,0.20723708,0.5768201,0.6956536,0.59439546,0.52634686,0.5855259,-0.15364021,-0.39130718,-0.18879092,-0.052693773,0.8019365,0.8110081,0.80937576,0.7916736,0.85079753,0.1449258,0.16463496,0.28660342,0.25910932,0.2813775,0.8389831,0.889699,1.5532379,1.514811,1.4082915,0.99118686,0.5864928,0.54121625,0.5222881,0.5206034,0.008813148,0.41350722,0.45878375,0.47771192,0.47939655,0.9823737,0.17298555,0.08243251,0.044576194,0.041206874
2,SZ002625,0.07497528873797397,0.8,,,,,,2026-07-23,0.03088133,0.043025695,0.7177416,0.0010409427,0.024193512,0.01110342,0.25806487,0.04094381,0.95161295,0.9700438,1.0010097,0.959273,0.9836687,0.9316482,0.9949147,1.0332536,1.2457374,1.3462459,0.9370326,0.94201815,0.98080313,1.0459816,1.1878552,0.04516725,0.03780947,0.05207805,0.11911392,0.17155755,0.027804377,-0.00010695999,-0.005856437,-0.011593665,-0.009067347,0.9473688,7.335893e-05,0.44261444,0.7342064,0.85200214,0.0073586483,0.058463182,0.07483299,0.12212649,0.07963154,1.0010097,1.0508107,1.103971,1.3250861,1.4588821,0.8835244,0.8835244,0.8835244,0.8835244,0.8835244,0.9730382,0.9730382,1.0215076,1.1041081,1.3526473,0.90660083,0.91756904,0.92843753,0.94241697,1.0040283,1.0,0.9,0.6,0.4,0.2,0.99140525,0.6962652,0.528362,0.263781,0.2024403,1.0,0.1,0.35,0.06666667,0.35,0.2,0.6,0.8,0.8666667,0.93333334,0.8,-0.5,-0.45,-0.8,-0.5833333,0.16067323,0.3120505,0.18796614,-0.031513795,0.04186133,-0.26305065,0.019827154,0.24874872,0.015308728,0.17796141,0.8,0.7,0.55,0.43333334,0.45,0.2,0.3,0.45,0.56666666,0.53333336,0.6,0.4,0.1,-0.13333334,-0.083333336,0.72120047,0.510004,0.47007623,0.36763516,0.40590194,0.27879953,0.48999602,0.5299238,0.63236487,0.5940981,0.4424009,0.020007964,-0.059847537,-0.26472968,-0.18819615,1.1844223,1.1396065,1.1387306,1.2190082,1.2034649,0.27364025,0.28353727,0.28535914,0.4924919,0.44413996,0.6748629,0.8412584,0.7214855,1.262903,1.1954702,0.57763225,0.5035718,0.49582744,0.49259877,0.5035046,0.42236775,0.49642822,0.50417256,0.5074012,0.49649546,0.15526448,0.0071435706,-0.008345104,-0.014802486,0.0070090997
3,SZ002460,0.0709851548886623,0.8,,,,,,2026-07-23,0.06823867,0.076794654,0.8885862,0.00083478686,0.010870377,0.0077211964,0.10054341,0.07512508,0.97825927,0.9361204,1.0007814,0.92889243,0.9777643,0.9761728,1.0906372,1.3315969,1.3167963,1.6555455,0.94119954,0.97525084,1.093585,1.1865457,1.3418505,0.03685458,0.046869252,0.13397948,0.17287444,0.22432473,0.01316768,-0.010261123,-0.021292275,-0.018828923,-0.012149217,0.31913587,0.43936473,0.883966,0.9193717,0.89462715,0.032465115,0.0709242,0.1086916,0.086473666,0.016551424,1.0007814,1.0904543,1.3401703,1.4313315,1.7856647,0.88279486,0.88279486,0.88279486,0.88279486,0.88279486,0.957643,1.0095668,1.2369688,1.3671353,1.5256904,0.92139083,0.9306158,0.970349,0.9991952,1.1762748,1.0,0.7,0.35,0.23333333,0.11666667,0.9933767,0.56441027,0.2562559,0.21366875,0.129814,1.0,0.1,0.05,0.16666667,0.083333336,0.6,0.8,0.9,0.93333334,0.96666664,0.4,-0.7,-0.85,-0.76666665,-0.8833333,0.64591235,-0.030177461,-0.08431843,0.41403794,0.3280767,0.58579576,0.3580811,0.15072116,0.257968,0.29726633,0.4,0.3,0.3,0.4,0.33333334,0.6,0.7,0.7,0.6,0.6666667,-0.2,-0.4,-0.4,-0.2,-0.33333334,0.56446177,0.37219694,0.26127076,0.3527241,0.34486312,0.4355382,0.627803,0.73872924,0.64727587,0.6551369,0.12892358,-0.25560609,-0.4774585,-0.2945518,-0.31027374,0.68230706,0.6408932,0.6452024,0.71150273,0.70724964,0.19410735,0.16331363,0.14486454,0.16641384,0.18506227,0.94356406,0.82995224,0.9998037,0.9018553,0.9261106,0.60030067,0.54430777,0.5373359,0.51536447,0.49122056,0.39969936,0.4556922,0.46266416,0.4846355,0.50877947,0.2006013,0.08861559,0.07467169,0.03072898,-0.017558888
4,SH600111,0.06928291075119122,0.8,,,,SH600111,北方稀土,2026-07-23,0.029396782,0.042944767,0.6845253,0.0053680534,0.12499901,0.008179933,0.19047566,0.032208662,0.75000197,0.9714427,1.0052148,0.9634964,0.9897986,0.9652342,1.0672989,1.2217574,1.1666279,1.1698542,0.9624078,0.97723293,1.0733228,1.1324447,1.1985737,0.030101655,0.03538116,0.10516115,0.12292738,0.12101246,0.017829422,-0.0043482273,-0.015974866,-0.012515061,-0.0054132985,0.877069,0.13844962,0.8076661,0.8032864,0.6103285,0.0019333345,0.042334072,0.07843852,0.04902364,-0.03888139,1.0052148,1.0752503,1.2187811,1.3446766,1.4353209,0.9111032,0.9111032,0.9111032,0.9111032,0.9111032,0.9819228,0.9912656,1.1793467,1.2300551,1.281237,0.93255883,0.9588282,0.970757,0.9813781,1.1462075,1.0,0.9,0.45,0.3,0.15,0.9445896,0.54156804,0.2889282,0.2050329,0.16957995,1.0,0.1,0.3,0.23333333,0.13333334,0.4,0.7,0.85,0.9,0.95,0.6,-0.6,-0.55,-0.6666667,-0.81666666,0.4544008,0.41952834,0.1542317,0.62409455,0.693382,0.0077141123,0.01628193,-0.33185405,0.04538403,0.35664737,0.6,0.4,0.45,0.5,0.46666667,0.4,0.6,0.55,0.5,0.51666665,0.2,-0.2,-0.1,0.0,-0.05,0.648346,0.37130523,0.28563973,0.40749922,0.4579415,0.351654,0.6286948,0.71436024,0.59250075,0.5420585,0.29669204,-0.25738958,-0.42872053,-0.18500154,-0.08411702,0.99215555,1.0249269,1.104788,1.4583502,1.6377264,0.13819867,0.2507613,0.3555529,0.7159659,0.7637787,0.8721862,1.1622885,1.2456875,1.2390934,1.1322644,0.6783149,0.28200594,0.45432454,0.49540466,0.50098735,0.32168505,0.7179941,0.54567546,0.50459534,0.49901265,0.35662988,-0.43598813,-0.09135091,-0.009190706,0.0019747273
5,SZ002384,0.06864969309518566,1.0,,,,,,2026-07-23,-0.07331832,0.112287,-0.65295464,0.00461889,0.04113468,0.03434979,0.30591068,-0.043587413,-0.38817865,1.0791192,1.0841036,0.96293247,1.0190628,1.3007543,1.2645568,1.3346288,1.0271991,0.9092701,1.0789286,1.1543517,1.1658999,1.1813862,1.1032305,0.06614428,0.101305574,0.08665446,0.094823085,0.11363942,-0.03424719,-0.022385243,-0.0054491726,-0.002581975,0.0041656597,0.6702014,0.44757763,0.13840358,0.057461582,0.4098353,-0.010434217,-0.05361811,-0.11413271,-0.14394757,-0.22611749,1.258172,1.3553373,1.3553373,1.3553373,1.3553373,0.948271,0.948271,0.948271,0.948271,0.8559412,1.1284027,1.2620131,1.260881,1.2655536,1.2130519,1.0420074,1.0533977,1.0834954,1.0834954,1.0220912,0.2,0.1,0.05,0.033333335,0.13333334,0.16692111,0.12707767,0.12707767,0.12707767,0.288466,0.2,0.4,0.7,0.8,0.9,0.6,0.8,0.9,0.93333334,0.05,-0.4,-0.4,-0.2,-0.13333334,0.85,-0.014964746,-0.14810438,-0.24433763,-0.1914096,-0.042814277,0.8388778,0.34933895,0.28124592,0.29283953,-0.006463689,0.2,0.4,0.45,0.53333336,0.56666666,0.8,0.6,0.55,0.46666667,0.43333334,-0.6,-0.2,-0.1,0.06666667,0.13333334,0.14961852,0.3120108,0.37705573,0.49266768,0.51488763,0.8503815,0.68798923,0.6229443,0.5073323,0.48511237,-0.700763,-0.3759784,-0.24588855,-0.01466467,0.029775273,1.0091608,0.9621718,0.83006835,0.7727004,0.74260044,0.14576775,0.1488351,0.20481953,0.19538301,0.16488169,0.23616242,0.53205395,0.5954398,0.6653296,0.78379077,0.5447167,0.5297743,0.5618017,0.5564363,0.50276357,0.45528325,0.4702257,0.43819833,0.44356373,0.49723646,0.08943349,0.059548624,0.12360332,0.112872556,0.005527088
6,SH603799,0.06514438367033074,0.8,,,,SH603799,华友钴业,2026-07-23,0.0439699,0.05829143,0.75431156,0.009296455,0.15948237,0.005025075,0.08620606,0.03969852,0.6810353,0.95788205,1.0089049,0.9530686,0.9882172,0.9342596,1.015386,1.208411,1.1347444,1.5456918,0.9342036,0.9509884,1.0304784,1.1014515,1.2504119,0.052536763,0.04367889,0.09394323,0.13025567,0.20427996,0.030557629,-0.0028257177,-0.014055537,-0.013429836,-0.011158086,0.8457708,0.038364165,0.78348726,0.8238533,0.9099714,0.0046810987,0.061727315,0.10304925,0.09328108,0.07875173,1.0089049,1.0369984,1.2105458,1.3356777,1.6905148,0.8562486,0.8562486,0.8562486,0.8562486,0.8562486,0.96628124,0.9968854,1.1296345,1.2328608,1.4029093,0.88662815,0.9254942,0.9509511,0.9594181,1.0697315,1.0,1.0,0.5,0.33333334,0.16666667,0.94166696,0.7953062,0.40573665,0.2998386,0.17230874,1.0,0.1,0.05,0.26666668,0.1,0.4,0.7,0.85,0.9,0.95,0.6,-0.6,-0.8,-0.6333333,-0.85,0.84980965,0.23073798,-0.17051196,0.2615132,0.32651216,0.5586089,0.58206147,0.46900597,0.41328076,0.36861596,0.6,0.4,0.35,0.43333334,0.36666667,0.4,0.6,0.65,0.56666666,0.6333333,0.2,-0.2,-0.3,-0.13333334,-0.26666668,0.6717,0.47900233,0.33650333,0.43636048,0.36391962,0.3283,0.5209977,0.6634967,0.5636395,0.6360804,0.34339997,-0.041995358,-0.32699338,-0.12727906,-0.27216077,0.8934513,0.74633265,0.70995295,0.7613339,0.7535793,0.23187844,0.22302726,0.16877607,0.19189718,0.19910367,0.99009365,0.94423544,1.0234684,0.96040124,0.94434637,0.7555456,0.5435981,0.5376643,0.5548179,0.50360096,0.24445435,0.4564019,0.46233574,0.4451821,0.49639904,0.5110913,0.087196186,0.07532853,0.10963578,0.007201919
7,SH600219,0.06252181774959972,1.0,,,,SH600219,南山铝业,2026-07-23,0.101149425,0.108046,0.9361699,0.0,0.0,0.006896582,0.06383005,0.108046,1.0,0.908142,1.0,0.9018789,0.9684737,0.8540233,0.83717066,0.89556134,0.9520531,1.1929741,0.89608353,0.87417513,0.8629124,0.8943666,0.9894058,0.064195044,0.050282534,0.037718713,0.058124896,0.111385174,0.037764065,0.011823432,0.0031169183,-0.0035899794,-0.0056944503,0.8651562,0.50683224,0.239004,0.29563865,0.7971659,0.028388336,0.0726194,0.10747688,0.15768808,0.1785805,1.0,1.0,1.0,1.0209755,1.19838,0.8268234,0.81630856,0.8121182,0.8121182,0.8121182,0.92651314,0.87984806,0.87106574,0.95841444,1.1005934,0.8610016,0.8477095,0.8405886,0.8480892,0.8651317,1.0,1.0,1.0,0.96666664,0.53333336,1.0,1.0,1.0,0.8995701,0.48641062,1.0,1.0,1.0,0.1,0.31666666,0.2,0.3,0.5,0.6666667,0.8333333,0.8,0.7,0.5,-0.56666666,-0.51666665,0.91422546,0.84127045,0.7214156,0.41305125,0.37087262,0.3649148,0.5850608,0.4219472,0.44491795,0.13828774,0.8,0.6,0.55,0.5,0.45,0.2,0.4,0.45,0.5,0.53333336,0.6,0.2,0.1,0.0,-0.083333336,0.8800988,0.77093214,0.6149426,0.5337116,0.4366329,0.11990118,0.22906785,0.38505742,0.46628836,0.5633671,0.76019764,0.54186434,0.22988516,0.06742327,-0.12673421,0.6777532,0.5709003,0.50057554,0.50299937,0.5549407,0.22636245,0.20103694,0.16855587,0.15214682,0.2210899,1.092635,1.2188168,1.3976543,1.2504773,1.4950839,0.83525884,0.69779754,0.6108619,0.59251237,0.5121554,0.16474114,0.30220243,0.3891381,0.40748763,0.48784462,0.67051774,0.39559513,0.2217238,0.18502474,0.024310773
8,SH605117,0.06064543417019551,1.0,,,,SH605117,德业股份,2026-07-23,0.09950311,0.09950311,1.0,0.0,0.0,0.0,0.0,0.09950311,1.0,0.90950173,1.0,0.90950173,0.97412103,0.9334502,0.9737892,1.1221273,1.1716123,1.1722258,0.9259727,0.93965375,1.0166061,1.0634407,1.1596618,0.042069815,0.032872774,0.094884634,0.10360563,0.13198099,0.020089122,-0.0019214761,-0.014005318,-0.010453166,-0.0058777584,0.5700601,0.031319056,0.76253927,0.7889158,0.6049237,0.03384907,0.06899288,0.11644447,0.088130176,0.013732087,1.0,1.0076823,1.210255,1.2468653,1.433733,0.8753773,0.8753773,0.8753773,0.8753773,0.8753773,0.9345577,0.96554023,1.09016,1.1586412,1.2715231,0.90384984,0.90834975,0.9303996,0.95066404,1.0579823,1.0,1.0,0.55,0.36666667,0.18333334,1.0,0.9419348,0.37214386,0.33546898,0.22319587,1.0,0.4,0.15,0.23333333,0.33333334,0.6,0.8,0.9,0.93333334,0.96666664,0.4,-0.4,-0.75,-0.7,-0.6333333,0.85175055,0.63503295,0.27646804,0.44081417,0.33530733,0.7801114,0.6843443,0.23563933,0.29993305,0.3164964,0.4,0.4,0.4,0.43333334,0.4,0.6,0.6,0.6,0.56666666,0.6,-0.2,-0.2,-0.2,-0.13333334,-0.2,0.7111337,0.5554456,0.40637532,0.40890336,0.45826018,0.28886628,0.4445544,0.59362465,0.59109664,0.5417398,0.42226744,0.11089123,-0.18724936,-0.18219326,-0.083479665,0.6594369,0.6762542,0.7535652,0.8143559,0.8228569,0.20368487,0.17106836,0.2637874,0.26340252,0.23036209,1.4356297,1.5016007,1.1119112,1.0697691,1.0019765,0.76846504,0.38662127,0.5209035,0.52363884,0.51187474,0.23153496,0.6133787,0.47909647,0.4763612,0.48812523,0.5369301,-0.22675747,0.041807078,0.047277655,0.02374952
9,SH688223,0.05995107108244464,0.8,,,,SH688223,晶科能源,2026-07-23,0.033734936,0.040963806,0.8235304,0.0024096228,0.058823213,0.0048192455,0.117646426,0.03614456,0.88235354,0.967366,1.002331,0.962704,0.983832,0.9527027,1.0,1.1373874,1.2409909,1.5360361,0.9707207,0.96936935,1.015991,1.071922,1.2754505,0.023351839,0.026248375,0.06217152,0.09708214,0.24445729,0.012837835,0.000545995,-0.008744835,-0.010382908,-0.013245797,0.7555817,0.003966285,0.6924498,0.8864639,0.8954679,0.003603615,0.028173644,0.06708494,0.07863024,0.11530054,1.002331,1.0597899,1.1770095,1.260891,1.825727,0.91464126,0.91464126,0.91464126,0.91464126,0.91464126,0.98018014,0.98018014,1.09009,1.1869369,1.545946,0.9635135,0.94954956,0.96531534,0.9725225,1.0216217,1.0,0.9,0.525,0.35,0.175,0.97341776,0.58807814,0.32533944,0.24652362,0.09368902,1.0,0.1,0.2,0.16666667,0.18333334,0.4,0.7,0.85,0.9,0.95,0.6,-0.6,-0.65,-0.73333335,-0.76666665,0.3544479,0.43068108,0.4835039,0.41263726,0.7690447,0.26815176,0.26177922,0.18697602,0.13386725,0.19732179,0.6,0.6,0.45,0.46666667,0.46666667,0.4,0.4,0.55,0.5,0.51666665,0.2,0.2,-0.1,-0.033333335,-0.05,0.75609773,0.5,0.36322865,0.33639145,0.36951756,0.24390227,0.5,0.6367713,0.66360855,0.63048244,0.51219547,0.0,-0.27354267,-0.3272171,-0.2609649,1.0433196,0.9970245,1.0381134,1.0665132,1.3003175,0.15566961,0.21702208,0.2045162,0.19187286,0.4368938,0.96974427,1.0989356,0.8378618,0.8703295,0.99945736,0.6640786,0.51831275,0.48962945,0.4492511,0.49616277,0.33592138,0.48168725,0.51037055,0.55074894,0.5038372,0.32815725,0.036625534,-0.0207411,-0.10149785,-0.007674457
10,SH600026,0.05548636419950434,0.8,,,,SH600026,中远海能,2026-07-23,0.010732354,0.05239896,0.20481996,0.0012625974,0.024095848,0.04040401,0.7710842,0.04987377,0.95180833,0.9893816,1.0012492,0.9494066,0.9794359,0.9096463,0.9697749,1.3260449,1.0093248,1.2942122,0.94051445,0.9401286,0.99580383,1.0618113,1.1606805,0.047361378,0.034928814,0.08259897,0.1332663,0.16385935,0.029549833,0.002821788,-0.010821505,-0.010682322,-0.0077725495,0.9731984,0.05982635,0.6007505,0.49795756,0.68625325,0.00038586717,0.047173347,0.10700046,0.09308233,0.06860964,1.0012492,1.0012492,1.2753811,1.390032,1.4606208,0.87841,0.87841,0.87841,0.87841,0.87841,0.982508,0.96655947,1.0575563,1.1796784,1.3316398,0.90321547,0.9091318,0.93009645,0.9551125,0.99980706,1.0,1.0,0.65,0.43333334,0.21666667,0.9898307,0.9898307,0.3062944,0.23765591,0.20884195,1.0,1.0,0.05,0.3,0.3,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.4,-0.75,-0.56666666,-0.6333333,0.40736508,0.3816269,0.7379338,0.4699281,0.12627888,0.44950274,0.51323414,0.45237035,-0.2740582,-0.17487134,0.8,0.5,0.35,0.46666667,0.41666666,0.2,0.5,0.6,0.5,0.56666666,0.6,0.0,-0.25,-0.033333335,-0.15,0.83693063,0.55788183,0.27840912,0.49665204,0.43504187,0.16306937,0.44211817,0.7215909,0.50334793,0.5649581,0.67386127,0.11576364,-0.44318178,-0.006695906,-0.12991624,1.0930779,1.0728543,1.1952956,1.3923894,1.2250298,0.17441027,0.14647172,0.2355907,0.540486,0.45641288,0.62209415,0.6574346,0.8464361,0.90865374,1.0464824,0.5054043,0.50117654,0.31342152,0.50655764,0.5074038,0.49459574,0.4988235,0.6865785,0.49344233,0.49259618,0.010808528,0.0023530396,-0.373157,0.013115331,0.014807638
11,SZ002466,0.053347338541948834,1.0,,,,,,2026-07-23,0.04248141,0.06540796,0.6494838,0.013711018,0.20962305,0.009215535,0.14089316,0.03798593,0.58075386,0.95924973,1.0131522,0.9504097,0.9869879,1.0638298,1.0735196,1.3937197,1.282466,1.5890541,0.962789,0.99353755,1.1244451,1.2056413,1.3376015,0.042429592,0.047074832,0.1492105,0.16918197,0.20755668,0.0008843958,-0.007930373,-0.023109324,-0.017449256,-0.010791601,0.0010861646,0.26014838,0.8395446,0.8244178,0.8245142,0.03544218,0.042149108,0.09509355,0.0473729,-0.019249275,1.0827924,1.0991902,1.401485,1.4540911,1.778571,0.8719405,0.8719405,0.8719405,0.8719405,0.8719405,1.0026301,1.0242349,1.2791438,1.3528378,1.4912484,0.9359754,0.94597286,0.9966829,1.0193642,1.1991029,0.8,0.5,0.25,0.16666667,0.083333336,0.60734314,0.5635188,0.24182953,0.21997656,0.1412477,0.2,0.5,0.05,0.33333334,0.083333336,0.6,0.8,0.9,0.93333334,0.96666664,-0.4,-0.3,-0.85,-0.6,-0.8833333,-0.10789978,0.02430076,-0.4264886,0.16282839,0.36534077,0.18502314,0.2754036,-0.15556699,0.1077737,0.14527604,0.6,0.6,0.55,0.6,0.45,0.4,0.4,0.45,0.4,0.55,0.2,0.2,0.1,0.2,-0.1,0.36712915,0.41049808,0.28104243,0.39236528,0.37487888,0.63287085,0.5895019,0.71895754,0.6076347,0.6251211,-0.26574174,-0.17900383,-0.43791515,-0.21526948,-0.25024226,0.90643454,0.87807715,0.83681035,0.91195726,0.91137844,0.078974456,0.12146498,0.17032932,0.19142562,0.25642347,0.74056405,0.72565204,0.87369245,0.8414976,0.917633,0.45736915,0.4389108,0.4914341,0.5122114,0.46302524,0.54263085,0.56108916,0.5085659,0.48778862,0.5369747,-0.08526167,-0.12217835,-0.017131824,0.024422754,-0.073949516
12,SZ300476,0.05052016822835159,1.0,,,,,,2026-07-23,-0.03267204,0.05186239,-0.6299756,0.011336088,0.21858013,0.00785426,0.15144424,-0.036153868,-0.69711155,1.0337756,1.0454946,0.9918805,1.0178773,1.1339318,1.2417867,1.4655288,1.382242,1.3208429,0.99209607,1.0748749,1.181228,1.2730606,1.3699051,0.030497652,0.09230506,0.13917649,0.17715357,0.17177336,0.004667511,-0.024436478,-0.021741724,-0.018373312,-0.0069004647,0.05855688,0.6424476,0.85413045,0.8336367,0.4922037,-0.0014311058,0.035089295,0.025318388,-0.006647519,-0.16634135,1.1220838,1.278406,1.4814794,1.5728405,1.6850107,0.8621741,0.8621741,0.8621741,0.8621741,0.8621741,1.0070729,1.1457851,1.2954825,1.4434606,1.5169271,0.98759377,1.0044838,1.0098339,1.1375121,1.2232516,0.4,0.2,0.1,0.06666667,0.033333335,0.53028387,0.33112767,0.22254921,0.19393899,0.16750094,0.2,0.1,0.2,0.23333333,0.33333334,0.6,0.8,0.9,0.93333334,0.96666664,-0.4,-0.7,-0.7,-0.7,-0.6333333,-0.23442532,-0.25416708,0.18871647,0.33963993,0.5360899,-0.62946427,-0.4213758,0.13908236,0.14988898,0.2132942,0.4,0.4,0.35,0.46666667,0.46666667,0.6,0.6,0.65,0.53333336,0.53333336,-0.2,-0.2,-0.3,-0.06666667,-0.06666667,0.25225276,0.27240413,0.30175364,0.37711006,0.4502241,0.74774724,0.72759587,0.69824636,0.62288994,0.5497759,-0.4954945,-0.45519173,-0.39649275,-0.24577989,-0.09955178,1.5200236,1.4295177,1.4345157,1.4893011,1.6867911,0.3023016,0.3280446,0.35940537,0.34381256,0.4676679,0.9154519,0.8899786,0.86171806,0.91887355,0.9935071,0.5282823,0.436593,0.43395975,0.49404377,0.47959596,0.47171772,0.563407,0.5660403,0.50595623,0.52040404,0.056564573,-0.12681401,-0.1320805,-0.011912455,-0.040808093
